OPR_DT,OPR_HR,MW
1/15/2019,23,43.64635
1/15/2019,24,40.86003
1/16/2019,1,44.32431
1/16/2019,2,43.36248
1/16/2019,3,42.52392
1/16/2019,4,43.07164
1/16/2019,5,43.9498
1/16/2019,6,47.51951
1/16/2019,7,58.33917
1/16/2019,8,69.21621
1/16/2019,9,50.35692
1/16/2019,10,45.85129
1/16/2019,11,42.17412
1/16/2019,12,40.17296
1/16/2019,13,38.67079
1/16/2019,14,39.37092
1/16/2019,15,41.01242
1/16/2019,16,46.71612
1/16/2019,17,66.47537
1/16/2019,18,76.22689
1/16/2019,19,75.65548
1/16/2019,20,67.95631
1/16/2019,21,56.92823
1/16/2019,22,49.85285
1/16/2019,23,46.92172
1/16/2019,24,43.4268
1/17/2019,1,41.60915
1/17/2019,2,40.96888
1/17/2019,3,40.40747
1/17/2019,4,41.11528
1/17/2019,5,42.07027
1/17/2019,6,45.91893
1/17/2019,7,62.23385
1/17/2019,8,65.20498
1/17/2019,9,59.26365
1/17/2019,10,58.17239
1/17/2019,11,53.58125
1/17/2019,12,48.31909
1/17/2019,13,44.21402
1/17/2019,14,45.11238
1/17/2019,15,46.23171
1/17/2019,16,53.16224
1/17/2019,17,66.02533
1/17/2019,18,72.08814
1/17/2019,19,73.57727
1/17/2019,20,63.2517
1/17/2019,21,55.25008
1/17/2019,22,53.08715
1/17/2019,23,46.41718
1/17/2019,24,43.27791
1/18/2019,1,40.3653
1/18/2019,2,38.3166
1/18/2019,3,36.99035
1/18/2019,4,37.25428
1/18/2019,5,39.74642
1/18/2019,6,44.30405
1/18/2019,7,54.8879
1/18/2019,8,55.4916
1/18/2019,9,44.13715
1/18/2019,10,43.41431
1/18/2019,11,34.80226
1/18/2019,12,38.76388
1/18/2019,13,38.19506
1/18/2019,14,36.48918
1/18/2019,15,35.17398
1/18/2019,16,41.90477
1/18/2019,17,51.59191
1/18/2019,18,75.93512
1/18/2019,19,74.47481
1/18/2019,20,63.39081
1/18/2019,21,56.15158
1/18/2019,22,48.79223
1/18/2019,23,45.73498
1/18/2019,24,43.4073
1/19/2019,1,38.58125
1/19/2019,2,38.34389
1/19/2019,3,37.09574
1/19/2019,4,37.04855
1/19/2019,5,39.68567
