OPR_DT,OPR_HR,MW - Regulation Down MAX,MW - Regulation Down Min,MW - Regulation Up MAX,MW - Regulation Up Min
1/22/2020,14,900,8.88,0,8.88
1/22/2020,15,900,8.88,0,8.88
1/22/2020,16,900,8.88,0,8.88
1/22/2020,17,999.35,8.88,0,8.88
1/22/2020,18,900,8.88,0,8.88
1/22/2020,19,900,8.88,0,8.88
1/22/2020,20,900,8.88,0,8.88
1/22/2020,21,900,8.88,0,8.88
1/22/2020,22,900,8.88,0,8.88
1/22/2020,23,900,8.88,0,8.88
1/22/2020,24,900,8.88,0,8.88
1/23/2020,1,900,8.88,0,8.88
1/23/2020,2,900,8.88,0,8.88
1/23/2020,3,900,8.88,0,8.88
1/23/2020,4,900,8.88,0,8.88
1/23/2020,5,900,8.88,0,8.88
1/23/2020,6,1050.45,8.88,0,8.88
1/23/2020,7,900,8.88,0,8.88
1/23/2020,8,900,8.88,0,8.88
1/23/2020,9,900,8.88,0,8.88
1/23/2020,10,900,8.88,0,8.88
1/23/2020,11,900,8.88,0,8.88
1/23/2020,12,900,8.88,0,8.88
1/23/2020,13,900,8.88,0,8.88
1/23/2020,14,900,8.88,0,8.88
1/23/2020,15,900,8.88,0,8.88
1/23/2020,16,900,8.88,0,8.88
1/23/2020,17,958.05,8.88,0,8.88
1/23/2020,18,900,8.88,0,8.88
1/23/2020,19,900,8.88,0,8.88
1/23/2020,20,900,8.88,0,8.88
1/23/2020,21,900,8.88,0,8.88
1/23/2020,22,900,8.88,0,8.88
1/23/2020,23,900,8.88,0,8.88
1/23/2020,24,900,8.88,0,8.88
1/24/2020,1,900,8.88,0,8.88
1/24/2020,2,900,8.88,0,8.88
1/24/2020,3,900,8.88,0,8.88
1/24/2020,4,900,8.88,0,8.88
1/24/2020,5,900,8.88,0,8.88
1/24/2020,6,1014.14,8.88,0,8.88
1/24/2020,7,900,8.88,0,8.88
1/24/2020,8,900,8.88,0,8.88
1/24/2020,9,900,8.88,0,8.88
1/24/2020,10,900,8.88,0,8.88
1/24/2020,11,900,8.88,0,8.88
1/24/2020,12,900,8.88,0,8.88
1/24/2020,13,900,8.88,0,8.88
1/24/2020,14,900,8.88,0,8.88
1/24/2020,15,900,8.88,0,8.88
1/24/2020,16,900,8.88,0,8.88
1/24/2020,17,976.43,8.88,0,8.88
1/24/2020,18,900,8.88,0,8.88
1/24/2020,19,900,8.88,0,8.88
1/24/2020,20,900,8.88,0,8.88
1/24/2020,21,900,8.88,0,8.88
1/24/2020,22,900,8.88,0,8.88
1/24/2020,23,900,8.88,0,8.88
1/24/2020,24,900,8.88,0,8.88
1/25/2020,1,900,8.88,0,8.88
1/25/2020,2,900,8.88,0,8.88
1/25/2020,3,900,8.88,0,8.88
1/25/2020,4,900,8.88,0,8.88
1/25/2020,5,900,8.88,0,8.88
1/25/2020,6,900,8.88,0,8.88
1/25/2020,7,900,8.88,0,8.88
1/25/2020,8,900,8.88,0,8.88
1/25/2020,9,900,8.88,0,8.88
1/25/2020,10,900,8.88,0,8.88
1/25/2020,11,900,8.88,0,8.88
1/25/2020,12,900,8.88,0,8.88
1/25/2020,13,900,8.88,0,8.88
1/25/2020,14,900,8.88,0,8.88
1/25/2020,15,900,8.88,0,8.88
1/25/2020,16,900,8.88,0,8.88
1/25/2020,17,977.31,8.88,0,8.88
1/25/2020,18,900,8.88,0,8.88
1/25/2020,19,900,8.88,0,8.88
1/25/2020,20,900,8.88,0,8.88
1/25/2020,21,900,8.88,0,8.88
1/25/2020,22,900,8.88,0,8.88
1/25/2020,23,900,8.88,0,8.88
1/25/2020,24,900,8.88,0,8.88
1/26/2020,1,900,8.88,0,8.88
1/26/2020,2,900,8.88,0,8.88
1/26/2020,3,900,8.88,0,8.88
1/26/2020,4,900,8.88,0,8.88
1/26/2020,5,900,8.88,0,8.88
1/26/2020,6,900,8.88,0,8.88
1/26/2020,7,900,8.88,0,8.88
1/26/2020,8,900,8.88,0,8.88
1/26/2020,9,900,8.88,0,8.88
1/26/2020,10,900,8.88,0,8.88
1/26/2020,11,900,8.88,0,8.88
1/26/2020,12,900,8.88,0,8.88
1/26/2020,13,900,8.88,0,8.88
1/26/2020,14,900,8.88,0,8.88
1/26/2020,15,900,8.88,0,8.88
1/26/2020,16,900,8.88,0,8.88
1/26/2020,17,1062.75,8.88,0,8.88
1/26/2020,18,900,8.88,0,8.88
1/26/2020,19,900,8.88,0,8.88
1/26/2020,20,900,8.88,0,8.88
1/26/2020,21,900,8.88,0,8.88
1/26/2020,22,900,8.88,0,8.88
1/26/2020,23,900,8.88,0,8.88
1/26/2020,24,900,8.88,0,8.88
1/27/2020,1,900,8.88,0,8.88
1/27/2020,2,900,8.88,0,8.88
1/27/2020,3,900,8.88,0,8.88
1/27/2020,4,900,8.88,0,8.88
1/27/2020,5,900,8.88,0,8.88
1/27/2020,6,1035.15,8.88,0,8.88
1/27/2020,7,900,8.88,0,8.88
1/27/2020,8,900,8.88,0,8.88
1/27/2020,9,900,8.88,0,8.88
1/27/2020,10,900,8.88,0,8.88
1/27/2020,11,900,8.88,0,8.88
1/27/2020,12,900,8.88,0,8.88
1/27/2020,13,900,8.88,0,8.88
1/27/2020,14,900,8.88,0,8.88
1/27/2020,15,900,8.88,0,8.88
1/27/2020,16,900,8.88,0,8.88
1/27/2020,17,993.33,8.88,0,8.88
1/27/2020,18,900,8.88,0,8.88
1/27/2020,19,900,8.88,0,8.88
1/27/2020,20,900,8.88,0,8.88
1/27/2020,21,900,8.88,0,8.88
